19:35:49.393 [ApplicationImpl pooled thread 1317] INFO  c.b.l.BrowserStackRunExtension - maven
19:35:49.394 [ApplicationImpl pooled thread 1317] INFO  com.browserstack.utils.Helpers - null
08:42:21.895 [ApplicationImpl pooled thread 41] INFO  c.b.l.BrowserStackRunExtension - junit
08:42:21.897 [ApplicationImpl pooled thread 41] INFO  com.browserstack.utils.Helpers - null
08:42:21.901 [ApplicationImpl pooled thread 41] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:03:23.759 [ApplicationImpl pooled thread 144] INFO  c.b.l.BrowserStackRunExtension - junit
09:03:23.759 [ApplicationImpl pooled thread 144] INFO  com.browserstack.utils.Helpers - null
09:03:23.762 [ApplicationImpl pooled thread 144] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:03:58.411 [ApplicationImpl pooled thread 150] INFO  c.b.l.BrowserStackRunExtension - junit
09:03:58.411 [ApplicationImpl pooled thread 150] INFO  com.browserstack.utils.Helpers - null
09:03:58.411 [ApplicationImpl pooled thread 150] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:05:11.504 [ApplicationImpl pooled thread 149] INFO  c.b.l.BrowserStackRunExtension - junit
09:05:11.505 [ApplicationImpl pooled thread 149] INFO  com.browserstack.utils.Helpers - null
09:05:11.507 [ApplicationImpl pooled thread 149] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:07:21.452 [ApplicationImpl pooled thread 151] INFO  c.b.l.BrowserStackRunExtension - junit
09:07:21.452 [ApplicationImpl pooled thread 151] INFO  com.browserstack.utils.Helpers - null
09:07:21.455 [ApplicationImpl pooled thread 151] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:08:37.377 [ApplicationImpl pooled thread 146] INFO  c.b.l.BrowserStackRunExtension - junit
09:08:37.377 [ApplicationImpl pooled thread 146] INFO  com.browserstack.utils.Helpers - null
09:08:37.381 [ApplicationImpl pooled thread 146] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:31:16.591 [ApplicationImpl pooled thread 196] INFO  c.b.l.BrowserStackRunExtension - junit
10:31:16.591 [ApplicationImpl pooled thread 196] INFO  com.browserstack.utils.Helpers - null
10:31:16.591 [ApplicationImpl pooled thread 196] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:33:18.632 [ApplicationImpl pooled thread 211] INFO  c.b.l.BrowserStackRunExtension - junit
10:33:18.632 [ApplicationImpl pooled thread 211] INFO  com.browserstack.utils.Helpers - null
10:33:18.633 [ApplicationImpl pooled thread 211] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:45:01.189 [ApplicationImpl pooled thread 237] INFO  c.b.l.BrowserStackRunExtension - junit
10:45:01.189 [ApplicationImpl pooled thread 237] INFO  com.browserstack.utils.Helpers - null
10:45:01.190 [ApplicationImpl pooled thread 237] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:46:16.677 [ApplicationImpl pooled thread 239] INFO  c.b.l.BrowserStackRunExtension - junit
10:46:16.677 [ApplicationImpl pooled thread 239] INFO  com.browserstack.utils.Helpers - null
10:46:16.677 [ApplicationImpl pooled thread 239] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:54:26.066 [ApplicationImpl pooled thread 258] INFO  c.b.l.BrowserStackRunExtension - junit
10:54:26.066 [ApplicationImpl pooled thread 258] INFO  com.browserstack.utils.Helpers - null
10:54:26.067 [ApplicationImpl pooled thread 258] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:57:49.384 [ApplicationImpl pooled thread 263] INFO  c.b.l.BrowserStackRunExtension - junit
10:57:49.384 [ApplicationImpl pooled thread 263] INFO  com.browserstack.utils.Helpers - null
10:57:49.384 [ApplicationImpl pooled thread 263] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:58:32.784 [ApplicationImpl pooled thread 265] INFO  c.b.l.BrowserStackRunExtension - junit
10:58:32.784 [ApplicationImpl pooled thread 265] INFO  com.browserstack.utils.Helpers - null
10:58:32.784 [ApplicationImpl pooled thread 265] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:59:27.541 [ApplicationImpl pooled thread 246] INFO  c.b.l.BrowserStackRunExtension - junit
10:59:27.541 [ApplicationImpl pooled thread 246] INFO  com.browserstack.utils.Helpers - null
